creator;country of citizenship;educated at;lat_educated_at;lon_educated_at;place of birth;place of burial;place of death;sex or gender;fonte_educated_at;confianca_educated_at;observacoes_pesquisa;fonte_place_of_birth;confianca_place_of_birth;acervo;onde estudou;datas em que estudou;fonte_datas_estudo;confianca_preenchimento;lat_birth;lon_birth;score_birth;lat_death;lon_death;score_death
Emiliano Di Cavalcanti;Brazil;"Colégio Pio Americano; Faculdade de Direito do Largo de São Francisco";"41.890166; -23.55";"12.434586; -46.63722222";Rio de Janeiro;;Rio de Janeiro;male;Guia das Artes;;formação artística majoritariamente extraescolar no período inicial;;;"MAC; outros; MAC USP";"Rio de Janeiro; São Paulo";1916;Guia das Artes;media;-22.9014475;-43.1789159;100.0;-22.9014475;-43.1789159;100.0
Emiliano Zucchini;Italy;;;;Frascati, Italy;;;male;;;;Homeostasis Lab;media;FILE;;;;;41.8062042;12.6804299;100.0;;;
Emilio Vedova;Italy;aulas noturnas de decoração no Carmini;;;Venice;Cemetery of San Michele;Venice;male;"Peggy Guggenheim Collection; Wikipedia";;"Principalmente autodidata; registro mantido por haver fonte explícita para aulas noturnas.";;;"MAC; outros; MAC USP";Veneza, Itália;c. final dos anos 1930;Peggy Guggenheim Collection;media;45.434608;12.338913;100.0;45.434608;12.338913;100.0
Emma Vakarelova;Bulgaria;"Ilia Petrov National High School of Fine Arts; Estienne School; Royal Academy of Fine Arts; European School of Higher Education in Image (EESI); La Poudrière";"42.68753; 48.83107122055735; 45.6526; 44.9475";"23.32852; 2.351990735918997; 0.151541; 4.8952777777778";Sofia, Bulgaria;;;female;site oficial da artista;médio;;site oficial da artista / FILE Festival;alto;FILE;;;;;42.6964917;23.3260106;100.0;;;
Emmanuel Nassar;Brazil;Universidade Federal do Pará;-25.428888888889;-49.2675;Capanema;;;male;https://enciclopedia.itaucultural.org.br/pessoas/2814-emmanuel-nassar;;formação em arquitetura;;;"MAC; outros; MAC USP";Belém, Brasil;1969–1974;https://enciclopedia.itaucultural.org.br/pessoas/2814-emmanuel-nassar;alta;-1.1991117;-47.1809146;100.0;;;
Emmanuelle Leleu;France;Supinfocom Arles (atual MoPA);;;France;;;female;"Digital Production — https://digitalproduction.com/?p=99106; Cartoon Brew — https://www.cartoonbrew.com/cgi/a-la-francaise-by-julien-hazebroucq-emmanuelle-leleu-morrigane-boyer-william-lorton-ren-hsien-hsu-95939.html";médio;"FILE explicita “País de Origem: France”; preenchido em nível de país.";FILE Festival (País de Origem);alta;FILE;;;;alta;;;;;;
Emídio de Souza;;;;;;;;male;;;;;;"MAC; outros";;;;;;;;;;
Emília Ceccarelli;;;;;;;;;;;"biografia localizada; formação não localizada com segurança";;;"MAC; outros; MAC USP";;;;;;;;;;
Eran Hilleli;Israel;Bezalel Academy of Arts and Design;31.781166666666667;35.22361111111111;Israel;;;male;FILE Festival;médio;"FILE explicita “País de Origem: Israel”; preenchido em nível de país.";FILE Festival (País de Origem);alta;FILE;;;;alta;;;;;;
Erdal İnci;Turkey;Hacettepe University;39.867222222222;32.734444444444;Ankara, Turkey;;;male;;;;portfólio oficial / Art On Istanbul;alto;FILE;;;;;39.8965202;32.8619738;100.0;;;
Eri Kassnel;Romania;"Bern University of the Arts; Augsburg University of Applied Sciences";"46.94666666666667; 48.355277777778";"7.391388888888889; 10.905";Timișoara, Romania;;;female;"site oficial — https://eri-kassnel.de/en-info/kassnel-henneberg-media-artist/; Numeridanse — https://numeridanse.com/en/profile/kassnel-eri/";alto;;Flee Immediately / Fuck you, next;media;FILE;;;;;45.7509747;21.2261973;100.0;;;
Eric Lefaure;;;;;France;;;;;;"fonte biográfica identifica apenas o país; preenchimento mantido em nível de país.";FILE Festival / It’s Nice That;médio;FILE;;;;;;;;;;
Erica Gualandi;United Kingdom;Bournemouth University;50.7432;-1.8969;United Kingdom;;;female;"FILE Festival — https://archive.file.org.br/participantes/erica-gualandi/; Vimeo/NCCA Degree Show — https://vimeopro.com/nccaanimation/undergraduatedegreeshow2017/video/225838598";alto;"FILE explicita “País de Origem: United Kingdom”; preenchido em nível de país.";FILE Festival (País de Origem);alta;FILE;;;;alta;;;;;;
Erica Kaminishi;;"Faculdade de Artes do Paraná; Nihon University";-25.4096065;-49.2484327;;;;female;"site da artista; Olhar InComum";;"bacharela em Artes Plásticas e mestre em Artes Visuais; fontes também citam estudos de cerâmica e programa de doutorado no Japão, sem grau confirmado";;;"outros; Museu Victor Meirelles";"Curitiba, PR; Tóquio, Japão";;;media;;;;;;
Erich Brill;German Reich;escolas de arte em Hamburgo e Frankfurt;50.11055555555556;8.682222222222222;Lübeck;;Jungfernhof concentration camp;male;https://www.askart.com/bio/Erich_Arnold_Brill/11091033/Erich_Arnold_Brill;;A fonte recuperada usa o nome completo Erich Arnold Brill.;;;"MAC; outros; MAC USP";"Hamburgo; Frankfurt";"após doutorado em economia; sem datas exatas na fonte";;media;53.866268999;10.683932;100.0;-33.72565;25.42386;76.43
Erin Gee;Canada;Concordia University;45.496944444444445;-73.57805555555555;Regina, Saskatchewan, Canada;;;female;;;;Toronto Biennial of Art;alto;FILE;;;;;50.448119;-104.615859;100.0;;;
Ernest Ange Duez;France;"Beaux-Arts de Paris; École des Beaux-Arts de Paris";"48.85680555555555; 48.85680555555555";"2.333277777777778; 2.333277777777778";former 3rd arrondissement of Paris;Montmartre Cemetery;Saint-Germain-en-Laye;male;https://fr.wikipedia.org/wiki/Ernest_Ange_Duez;;aluno nos ateliês de Isidore Pils e Carolus-Duran;;;"outros; Pinacoteca de São Paulo";Paris, França;s.d.;https://fr.wikipedia.org/wiki/Ernest_Ange_Duez;media;43.309522766634;5.370419622038;85.38;48.898970617;2.093804863;100.0
Ernestina Sanná Karman;Brazil;ateliê de Samson Flexor;;;Santos;;;female;fontes biográficas de referência;;formação em ateliê explicitada em fontes sumárias;;;"MAC; outros; MAC USP";São Paulo, Brasil;s.d.;fontes biográficas de referência;baixa;-23.9562885;-46.3264601;100.0;;;
Ernesto de Fiori;Austria;Königliche Akademie der Bildenden Künste;52.362906786;4.917817469;Rome;;São Paulo;male;https://enciclopedia.itaucultural.org.br/pessoas/3015-ernesto-de-fiori;;A Enciclopédia Itaú Cultural informa estudos de desenho em Munique com Gabriel von Hackl na Real Academia.;;;"MAC; outros; MAC USP";Munique, Alemanha;1903–1905;https://enciclopedia.itaucultural.org.br/pessoas/3015-ernesto-de-fiori;alta;41.8905568;12.4942679;100.0;-23.5486657;-46.6382522;100.0
Ernesto Meyer Filho;Brazil;;;;Itajaí;;Florianópolis;male;fontes biográficas de referência;;"artista autodidata; sem escola formal localizada";;;"MAC; outros; MAC USP";Florianópolis, Brasil;;;media;-26.9083405;-48.6626099;100.0;-27.5969123;-48.5495751;100.0
Ernst Nowak;Cisleithania;Akademie der bildenden Künste Wien;48.201388888889;16.365277777778;Opava;;Vienna;male;https://www.biographien.ac.at/oebl/oebl_N/Novak_Ernst_1851_1919.xml;;A fonte aberta também informa os professores K. Mayer, Wurzinger e Eisenmenger.;;;"outros; Museu Histórico Nacional";Viena;1871-1881;https://www.biographien.ac.at/oebl/oebl_N/Novak_Ernst_1851_1919.xml;alta;49.936506356;17.904929924;100.0;48.2092062;16.3727778;100.0
Erwin Günther;Germany;Kunstakademie Düsseldorf;51.23054;6.77365;Hamburg;;Düsseldorf;male;https://de.wikipedia.org/wiki/Erwin_G%C3%BCnther_%28Maler%29;;A fonte também informa Olof Jernberg como professor.;;;"outros; MASP";Düsseldorf;sem data exata na fonte;https://de.wikipedia.org/wiki/Erwin_G%C3%BCnther_%28Maler%29;alta;53.550677999;9.99697;100.0;51.224219999;6.780068;100.0
Estanislau Antônio de Miranda (?);;;;;;;;;;;"identificação incerta; formação não localizada com segurança";;;"outros; Museu do Diamante";;;;;;;;;;
Estêvão Silva;Brazil;Academia Imperial de Belas Artes;-22.91111111111111;-43.20555555555556;Niterói;;Rio de Janeiro;male;https://pt.wikipedia.org/wiki/Est%C3%AAv%C3%A3o_Silva | https://projetoafro.com/artista/estevao-silva/;;As fontes recuperadas também identificam Victor Meirelles, Jules Le Chevrel e Agostinho José da Mota como mestres.;;;"outros; Pinacoteca de São Paulo";Rio de Janeiro;ingressa em 1864;https://projetoafro.com/artista/estevao-silva/;alta;-22.8898227;-43.1220775;100.0;-22.9014475;-43.1789159;100.0
Euclides Fonseca;Brazil;estudos de composição com Inocêncio Smolz;;;;;Rio de Janeiro;male;https://pt.wikipedia.org/wiki/Euclides_Fonseca | https://musicabrasilis.org.br/pt-br/compositores/euclides-fonseca/;;A formação aberta recuperável aparece por mestre, não por escola formal específica.;;;"outros; Museu Histórico Nacional";Recife;;;media;;;;-22.9014475;-43.1789159;100.0
Eugenio Prati;Kingdom of Italy;"Accademia di Belle Arti di Venezia; Academia de Belas Artes de Veneza; patronato operário Stimate de Verona";45.431078;12.328139;Caldonazzo;;Caldonazzo;male;https://prati.com.br/famiglia-prati/ilustresilustri/biografia-portugues | https://pt.wikiital.com/wiki/Eugenio_Prati_%28scultore%29;;"Há divergência de datas entre fontes secundárias; mantido o que aparece de forma mais explícita nas fontes abertas recuperadas.";;;"MAC; outros; MAC USP";"Veneza; Verona";"1854 em diante; 1907 e 1910 para os diplomas em Verona";https://prati.com.br/famiglia-prati/ilustresilustri/biografia-portugues | https://pt.wikiital.com/wiki/Eugenio_Prati_%28scultore%29;media;45.9959444;11.2657962;100.0;45.9959444;11.2657962;100.0
Eugène Delacroix;France;"Beaux-Arts de Paris; Lycée Impérial; École des Beaux-Arts; ateliê de Pierre-Narcisse Guérin";"49.17555556; 48.85666666666667";"-0.3725; 2.333611111111112";Saint-Maurice;Grave of Delacroix;Paris;male;"https://www.ebsco.com/research-starters/history/eugene-delacroix | https://www.guiadasartes.com.br/eugene-delacroix/biografia; https://www.guiadasartes.com.br/eugene-delacroix/biografia | https://www.ebsco.com/research-starters/history/eugene-delacroix";;;;;"outros; MASP";Paris;1813 em diante;https://www.guiadasartes.com.br/eugene-delacroix/biografia;alta;46.171768235;7.019052987;100.0;48.856372814;2.352529617;100.0
Eugène Laermans;Belgium;Académie Royale des Beaux-Arts;50.844;4.3477;Molenbeek-Saint-Jean;Molenbeek-Saint-Jean Cemetery;Brussels metropolitan area;male;https://en.wikipedia.org/wiki/Eug%C3%A8ne_Laermans;;A fonte cita estudo com Jean-François Portaels.;;;"outros; MASP";Bruxelas;desde 1887;https://en.wikipedia.org/wiki/Eug%C3%A8ne_Laermans;alta;50.855232451;4.318458105;100.0;-33.47269;-70.64724;78.78
Eugène Louis Boudin;France;atelier de Eugène Isabey;;;Honfleur;Saint-Vincent Cemetery;Deauville;male;https://en.wikipedia.org/wiki/Eug%C3%A8ne_Boudin;;A fonte também menciona trabalho como copista no Louvre.;;;"outros; Museu Nacional de Belas Artes";Paris;a partir de 1850;https://en.wikipedia.org/wiki/Eug%C3%A8ne_Boudin;alta;49.420241441;0.234543093;100.0;49.359249359;0.074676226;100.0
Eugênio Teixeira;;"formação artística brasileira; instituição não identificada na fonte aberta consultada";"; ";"; ";;;;;https://enciclopedia.itaucultural.org.br/;;"Não localizei nesta rodada uma fonte aberta suficiente para nomear escola específica; registro conservador.";;;"outros; Museu Histórico Nacional";Brasil;;;baixa;;;;;;
Eulália Nascimento Silva;Brazil;"formação artística brasileira; instituição não identificada na fonte aberta consultada";"; ";"; ";;;;female;https://www.catalogodasartes.com.br/;;Não localizei fonte aberta bastante robusta para nomear escola oficial nesta rodada.;;;"outros; Museu Histórico Nacional";Brasil;;;baixa;;;;;;
Eurico de Vio;;Academia de Belas Artes de Veneza;45.431078;12.328139;;;;male;https://pt.wikipedia.org/wiki/Enrico_Vio | https://www.oexplorador.com.br/enrico-vio-pintor-participa-de-exposicoes-em-milao-turim-e-da-grande-mostra-de-artes-de-veneza/;;O creator está grafado como 'Eurico de Vio', mas as fontes abertas biográficas consultadas usam 'Enrico Vio'.;;;"outros; Museu Paulista";Veneza;;;media;;;;;;
Evelyn Jane Ross;United States;Rhode Island School of Design;41.825833333333;-71.407777777778;;;;female;"FILE Festival — https://file.org.br/anima_2018/evelyn-jane-ross/; Great Women Animators — https://greatwomenanimators.com/evelyn-jane-ross/";alto;"Lote 8 pesquisado; sem fonte auditável suficiente para local de nascimento.";;;FILE;;;;;;;;;;
Everett Spruce;United States;Dallas Art Institute;32.779166666667;-96.808888888889;Conway;;Austin;male;fontes biográficas de referência;;instituição identificada em biografias do regionalismo texano;;;"MAC; outros; MAC USP";Dallas, EUA;c. 1920s;fontes biográficas de referência;media;35.0917981;-92.4367002;100.0;30.264979;-97.746598;100.0
Evert Lundquist;Sweden;"Gerlesborg School of Fine Art; Carl Wilhelmson's painting school; Académie Julian; Konsthögskola";59.324444444444;18.083055555556;Stockholm;;Stockholm;male;https://en.wikipedia.org/wiki/Evert_Lundquist;;;;;"MAC; outros; MAC USP";"Estocolmo, Suécia; Paris, França; Estocolmo, Suécia";"1924; 1924–1925; 1925–1931";https://en.wikipedia.org/wiki/Evert_Lundquist;media;59.3327881;18.0644881;100.0;59.3327881;18.0644881;100.0
F. Falcão;;;;;;;;;;;;;;"outros; Museu Histórico Nacional";;;;;;;;;;
F. Mallio;;;;;;;;male;;;;;;"outros; Museu Paulista";;;;;;;;;;
F. Prata;;;;;;;;;;;;;;"outros; Museu Histórico Nacional";;;;;;;;;;
F. Viriato;;;;;;;;;;;;;;"outros; Museu Histórico Nacional";;;;;;;;;;
Fabiana de Barros;Switzerland;Fundação Armando Álvares Penteado (FAAP);-23.5450155;-46.6630802;São Paulo;;;female;https://acervo.macrs.rs.gov.br/artistas-macrs/fabiana-de-barros/;;formação em artes plásticas;;;"MAC; outros; MAC USP";São Paulo, Brasil;1983;https://acervo.macrs.rs.gov.br/artistas-macrs/fabiana-de-barros/;alta;-23.5486657;-46.6382522;100.0;;;
Fabiano Rodrigues;Brazil;autodidata;;;Santos, Brazil;;;male;"FILE Festival — https://archive.file.org.br/participantes/fabiano-rodrigues/; Fundação Vera Chaves Barcellos — https://fvcb.com.br/acervo/artista/fabiano-rodrigues/";alto;;FILE Festival / Constance Galeria;alto;"FILE; MAC";;;;;-23.9562885;-46.3264601;100.0;;;
Fabio Fabbi;Kingdom of Italy;"Academy of Fine Arts, Florence; Accademia di Belle Arti di Bologna";44.497811111111;11.353188888889;Bologna;;Casalecchio di Reno;male;https://www.treccani.it/enciclopedia/fabio-fabbi_%28Dizionario-Biografico%29/;;depois transfere-se para Florença;;;"outros; Museu Nacional de Belas Artes";Bolonha, Itália;s.d.;https://www.treccani.it/enciclopedia/fabio-fabbi_%28Dizionario-Biografico%29/;alta;44.4941903;11.3465185;100.0;44.476574;11.2770555;100.0
Fabricio Lima;Brazil;;;;Brazil;;;male;;;"Perfil do artista descreve-o como “Brazilian-born”; preenchido em nível de país.";Behance;media;FILE;;;;;;;;;;
Fabrizio Clerici;Italy;Scuola Superiore di Architettura;;;Milan;;Rome;male;"Fabrizio Clerici official biography; European Parliament art collection";;;;;"MAC; outros; MAC USP";Roma, Itália;até 1937;"Fabrizio Clerici official biography; European Parliament art collection";alta;45.4636183;9.1881156;100.0;41.8905568;12.4942679;100.0
Faith Holland;United States;"Vassar College; School of Visual Arts";"41.686866666667; 40.73861111";"-73.895188888889; -73.98222222";New York, New York, USA;;;female;Pratt Institute;alto;;Microscope Gallery (CV da artista);médio;FILE;;;;;40.7130466;-74.0072301;100.0;;;
Faiyaz Jafri;Netherlands;Technical University of Delft;52.001666666667;4.3725;Netherlands;;;male;"Parsons — https://www.newschool.edu/parsons/faculty/Faiyaz-Jafri/; Pratt Institute — https://www.pratt.edu/people/faiyaz-jafri/; FILE Festival — https://file.org.br/anima_2018/faiyaz-jafri/";alto;;site oficial do artista / Parsons;médio;FILE;;;;;52.249375293;5.616126398;100.0;;;
Fanny Lhotellier;;"École des Beaux-Arts de Bourges; École Georges Méliès";47.085780555556;2.395;Courcouronnes, France;;;female;https://archive.file.org.br/participantes/fanny-lhotellier/ | https://filmfreeway.com/MielBleu;media;;CV da artista;alto;FILE;;;;;;;;;;
Fausto Pirandello;Italy;Scuola Libera del Nudo, Accademia di Belle Arti di Roma;41.9075;12.4756;Rome;;Rome;male;https://www.scuolaromana.it/artisti/pirandel.htm;;a fonte também registra acompanhamento de Felice Carena a partir de 1921;;;"MAC; outros; MAC USP";Roma, Itália;1920;https://www.scuolaromana.it/artisti/pirandel.htm;alta;41.8905568;12.4942679;100.0;41.8905568;12.4942679;100.0
Fayga Ostrower;Brazil;"Atelier 17; Fundação Getulio Vargas";-22.906908;-43.178427;Łódź;;Rio de Janeiro;female;https://pt.wikipedia.org/wiki/Fayga_Ostrower;;"curso de Artes Gráficas; estudou xilogravura com Axl Leskoscheck e gravura em metal com Carlos Oswald";;;"MAC; outros; MAC USP";Rio de Janeiro, Brasil;1947;https://pt.wikipedia.org/wiki/Fayga_Ostrower;alta;51.764444457;19.463055493;100.0;-22.9014475;-43.1789159;100.0
Federico Bebber;Italy;;;;Udine, Italy;;;male;;;;site oficial do artista;alto;FILE;;;;;46.0649418;13.2307247;100.0;;;
Federico Tirone;;;;;;;;;;;identificação localizada, mas formação não localizada com segurança;;;"outros; Museu Histórico Nacional";;;;;;;;;;
Felice Carena;Italy;Accademia Albertina;45.0675;7.68944444;Cumiana;Cemetery of San Michele;Venice;male;https://en.wikipedia.org/wiki/Felice_Carena;;Fonte confirma estudos na Accademia Albertina em Turim, sem datas precisas localizadas nesta passada.;;;"MAC; outros; MAC USP";Turim, Itália;;;media;44.9807962;7.3778148;100.0;45.434608;12.338913;100.0
Felice Casorati;Italy;"University of Padua; Universidade de Pádua";"45.42; 45.42";"11.87; 11.87";Novara;;Turin;male;https://en.wikipedia.org/wiki/Felice_Casorati;;"A formação localizada com segurança nesta passada é em Direito; estudos artísticos posteriores apareceram de forma menos estável entre fontes.";;;"MAC; outros; MAC USP";Pádua, Itália;até 1906;https://en.wikipedia.org/wiki/Felice_Casorati;media;45.4451051;8.6183864;100.0;45.0683751;7.6830662;100.0
Feliks Tomasz Konczakowski;Poland;;;;Kraków, Poland;;;male;;;;FILE Festival;alto;FILE;;;;;50.061781198;19.937369714;100.0;;;
Felipe Cama;;"Escola de Comunicações e Artes da Universidade de São Paulo (ECA-USP); Fundação Armando Alvares Penteado (FAAP)";"-23.55833333; -23.5450155";"-46.72694444; -46.6630802";;;;;https://www.premiopipa.com/pag/felipe-cama/;;A fonte consultada informa as instituições, mas não traz cronologia detalhada.;;;"MAC; outros; MAC USP";São Paulo (SP);;;media;;;;;;
Felix Bernardelli;Brazil;"Academia Imperial de Belas Artes; estudos em Roma";"-22.91111111111111; 41.893055555556";"-43.20555555555556; 12.482777777778";Pelotas;;Guadalajara;male;https://www.escritoriodearte.com/artista/atiliano-felix-bernardelli;;fonte confirma ingresso na Aiba e viagem de estudos a Roma;;;"outros; Pinacoteca de São Paulo";"Rio de Janeiro, Brasil; Roma, Itália";"1877; s.d.";https://www.escritoriodearte.com/artista/atiliano-felix-bernardelli;media;-31.7466131;-52.3353928;100.0;20.674161223;-103.336727247;100.0
