creator;country of citizenship;educated at;lat_educated_at;lon_educated_at;place of birth;place of burial;place of death;sex or gender;fonte_educated_at;confianca_educated_at;observacoes_pesquisa;fonte_place_of_birth;confianca_place_of_birth;acervo;onde estudou;datas em que estudou;fonte_datas_estudo;confianca_preenchimento;lat_birth;lon_birth;score_birth;lat_death;lon_death;score_death;fonte_place_of_death;fonte_lat_death;fonte_lon_death;observacoes_place_of_death;confianca_place_of_death
Darel Valença Lins;Brazil;Escola de Belas Artes do Recife (atual UFPE)> Liceu de Artes e Ofícios;-8.0517328;-34.9507155;Palmares, PE, Brasil;;Rio de Janeiro;male;https://www.escritoriodearte.com/artista/darel-valenca-lins;;depois entra em contato com Oswaldo Goeldi> mantidos apenas dados formativos explicitados na fonte;Wikipédia em português;media;MAC USP;Recife, Brasil> Rio de Janeiro, Brasil;1941–1942> 1948;https://www.escritoriodearte.com/artista/darel-valenca-lins;alta;-10.769946429;-53.073466889;;-22.9111111111;-43.2055555556;100.0;Enciclopédia Itaú Cultural;Wikidata (Rio de Janeiro);Wikidata (Rio de Janeiro);;alta
Darren McClure;United Kingdom;;;;Northern Ireland, United Kingdom;;;male;;;Fonte usa formulação de origem (“originally from Northern Ireland”), sem afirmar nascimento.;Loop.cl;baixa;FILE;;;;;54.787714;-6.492314;;;;;;;;fonte recente indica artista em atividade;
Dave Prosser;England;Royal College of Art;51.501388888889;-0.17888888888889;England;;;male;FILE Festival;médio;FILE explicita “País de Origem: England”> preenchido em nível de país.;FILE Festival (País de Origem);alta;FILE;;;;alta;52.355518;-1.17432;;;;;;;;fonte recente indica artista em atividade;
David Carson;United Kingdom;San Diego State University;32.775277777778;-117.07222222222;Corpus Christi, Texas, USA;;;male;site oficial David Carson Design;alto;;Britannica / Wikipedia;alto;FILE;;;;;27.796416;-97.404131;100.0;;;;;;;fonte recente indica artista em atividade;
David de Tewenoir;;;;;;;;;;;formação não localizada com segurança;;;MAC USP;;;;;;;;;;;;;;registro nominal do acervo não desambiguado com segurança;
David Dell’Edera;Hungary;Budapest Metropolitan University;47.50638889;19.135;Hungary;;;male;https://archive.file.org.br/participantes/david-delledera/ | https://www.animafest.hr/en/2017/authors/read/david_dell_edera;alto;;FILE Festival / Animafest;alto;FILE;;;;;47.16708877;19.4245317;100.0;;;;;;;fonte recente indica artista em atividade;
David James Armsby;Scotland;autodidata;;;Scotland, United Kingdom;;;male;https://www.youtube.com/@DeadSound | https://www.favoree.io/channel/deadsound;médio;autodidata mantido sem coordenadas> fontes localizadas informam apenas Escócia, sem cidade auditável;canal oficial no YouTube;media;FILE;;;;;56.94663175941;-4.154528959318;100.0;;;;;;;fonte recente indica artista em atividade;
David Mussel;Brazil;Escola de Belas Artes da Universidade Federal de Minas Gerais> Pontifícia Universidade Católica do Rio de Janeiro;-19.8690878> -22.97868;-43.9663841> -43.232819;Brazil;;;male;PUC-Rio (dissertação) | FILE Festival;alto;FILE explicita “País de Origem: Brazil”> preenchido em nível de país.;FILE Festival (País de Origem);alta;FILE;;;;alta;-10.769946429;-53.073466889;100.0;;;;;;;fonte recente indica artista em atividade;
David O'Reilly;Ireland;Dublin Institute of Art, Design and Technology (DLIADT);53.280292;-6.152882;Kilkenny, Ireland;;;male;ZKM;médio;;YveYANG Gallery / Wikipedia;alto;FILE;;;;;52.6537443;-7.2479557;100.0;;;;;;;fonte recente indica artista em atividade;
David Teniers the Younger;Habsburg Netherlands;estudos com David Teniers the Elder (pai);51.2234;4.4069;Antwerp;;Brussels;male;https://en.wikipedia.org/wiki/David_Teniers_the_Younger | https://www.britannica.com/biography/David-Teniers-the-Younger;;;Wikidata;alta;Museu Nacional de Belas Artes;Antuérpia;a partir de 1626;https://en.wikipedia.org/wiki/David_Teniers_the_Younger;alta;51.25942418;4.371799938;100.0;50.89806471;4.406264339;100.0;Britannica;Wikidata (Brussels);Wikidata (Brussels);;alta
Davide Mastrangelo;Italy;Accademia di Belle Arti di Bologna;44.497811111111;11.353188888889;Eboli, Italy;;;male;https://davidemastrangelo.it/ | https://www.cinemaemiliaromagna.it/professionista/davide-mastrangelo/;alto;;site oficial do artista;alto;FILE;Bolonha, Itália;;;;40.6153333;15.0587592;100.0;;;;;;;fonte recente indica artista em atividade;
Davy Crosta;France;ARIES School of Graphic and Motion Design;48.85666666666667;2.352222222222222;;;;male;FILE Festival;médio;Lote 8 pesquisado> sem fonte auditável suficiente para local de nascimento.;;;FILE;;;;;;;;;;;;;;fonte recente indica artista em atividade;
Debashis Sinha;Canada;;;;Winnipeg, Manitoba, Canada;;;male;;;;Soulpepper Theatre;alto;FILE;;;;;49.899897;-97.138865;100.0;;;;;;;"artista em atividade em fonte recente; sem óbito identificado";
Deborah Paiva;Brazil;Universidade de São Paulo (USP);-23.5613991;-46.7307891;Campo Grande, MS, Brasil;;São Paulo;female;https://www.mac.usp.br/mac/conteudo/cursoseventos/mac_encontra/2013_1/deborahpaiva.asp | https://janainatorres.com.br/deborah-paiva-1950-2022-uma-antologia/> https://www.mac.usp.br/mac/conteudo/cursoseventos/mac_encontra/2013_1/deborahpaiva.asp;;A fonte recuperada informa que a artista era formada em História pela USP> não localizei datas de estudo em fonte aberta confiável.;Janaina Torres Galeria;media;MAC USP;São Paulo;;;alta;-20.4435311;-54.6477573;;-23.55;-46.633;100.0;MAC USP;Wikipedia: São Paulo;Wikipedia: São Paulo;Local de morte preenchido a partir de ficha institucional do MAC USP.;alta
Delfim da Câmara;Brazil;Academia Imperial de Belas Artes (Aiba)> estudos com Manuel Joaquim de Melo Corte Real, Costa Miranda e José Correia de Lima;-22.91111111111111;-43.20555555555556;Magé, RJ, Brasil;;;male;https://enciclopedia.itaucultural.org.br/pessoas/6719-delfim-da-camara | https://pt.wikipedia.org/wiki/Delfim_da_C%C3%A2mara;;;Enciclopédia Itaú Cultural;alta;Museu Histórico Nacional;Rio de Janeiro;1848-1854;https://enciclopedia.itaucultural.org.br/pessoas/6719-delfim-da-camara | https://pt.wikipedia.org/wiki/Delfim_da_C%C3%A2mara;alta;-10.769946429;-53.073466889;;;;;;;;"fonte institucional menciona morte em 1916 sem local; campo mantido em branco";
Demian Rudel Rey;Argentina;Universidad Nacional de las Artes (UNA)> Conservatoire national supérieur musique et danse de Lyon (CNSMD de Lyon)> Universität für Musik und darstellende Kunst Graz (KUG)> Haute école des arts du Rhin (HEAR);-34.59472222> 45.76915> 47.0725;-58.39944444> 4.81262> 15.4503;Buenos Aires, Argentina;;;male;https://demianrudelrey.com.ar/es/biografia/ | https://www.demianrudelrey.com.ar/biographie/;alto;;site oficial do artista;alto;FILE;;;;;-34.6090264;-58.3732215;100.0;;;;;;;"artista em atividade em fonte recente; sem óbito identificado";
Denys Voloshyn;Ukraine;;;;Ukraine;;;male;;;;FILE Festival (País de Origem);alto;FILE;;;;;49.026898375;31.374926053;100.0;;;;;;;;
Desconhecido;;;;;;;;;;;;;;Museu de Arte Religiosa e Tradicional;;;;;;;;;;;;;;registro sem identificação nominal suficiente para pesquisa biográfica;
Diana Reichenbach;United States;University of Florida> University of Southern California;29.6475> 34.021667;-82.345> -118.285278;United States;;;female;Letterboxd/TMDB | iotaCenter/YouTube;médio;FILE explicita “País de Origem: United States”> preenchido em nível de país.;FILE Festival (País de Origem);alta;FILE;;;;alta;39.398703156;-99.41461919;100.0;;;;;;;"artista em atividade em fonte recente; sem óbito identificado";
Diana Salcedo;Colombia;Pontificia Universidad Javeriana> The New School, Parsons School of Design;4.62894444;-74.06485;Bucaramanga, Colombia;;;female;Danza en la Ciudad;alto;;Danza en la Ciudad;alto;FILE;;;;;7.1311813;-73.1250327;100.0;;;;;;;"artista em atividade em fonte recente; sem óbito identificado";
Dianne Bellino;United States;University of Iowa> Brown University;41.66166666666667> 41.82611111111111;-91.5363888888889> -71.40305555555555;United States;;;female;https://www.diannebellino.com/about;alto;FILE explicita “País de Origem: United States”> preenchido em nível de país.;FILE Festival (País de Origem);alta;FILE;;;;alta;39.398703156;-99.41461919;100.0;;;;;;;"artista em atividade em fonte recente; sem óbito identificado";
Diego de los Campos Orefice;;Instituto Nacional de Bellas Artes, Universidad de la República;-34.90591666666667;-56.19131111111111;Montevidéu, Uruguai;;;male;MASC> Escavador;;;MASC (FCC/SC);alta;Museu Victor Meirelles;Montevidéu, Uruguai;1997;Escavador;alta;-34.9055557;-56.1852505;;;;;;;;"artista em atividade em fonte recente; sem óbito identificado";
Diego Velázquez;Spain;aprendizado com Francisco Herrera, o Velho> oficina de Francisco Pacheco;> ;> ;Seville;Madrid;Madrid;male;https://en.wikipedia.org/wiki/Diego_Vel%C3%A1zquez | https://www.britannica.com/biography/Diego-Velazquez | https://www.diego-velazquez.org/biography.jsp;;A passagem por Herrera é menos documentada> por isso mantida com observação conservadora.;Wikidata;alta;MASP;Sevilha;c.1610-1617;https://en.wikipedia.org/wiki/Diego_Vel%C3%A1zquez | https://www.diego-velazquez.org/biography.jsp;media;37.38264;-5.9962951;100.0;40.4169;-3.7033;100.0;Britannica;Wikipedia: Madrid;Wikipedia: Madrid;"fontes adicionadas em auditoria; coordenadas auditadas para a cidade";alta
Dimitri Ismailovitch;Brazil;Pavel Military School;;;Sataniv;;Rio de Janeiro;male;https://archive.metromod.net/viewer.p/69/2949/object/5138-10436644;media;formação localizada refere-se a escola militar> não localizei nesta rodada escola de artes.;https://www.wikidata.org/wiki/Q4198627;media;;São Petersburgo;1907–1909;https://archive.metromod.net/viewer.p/69/2949/object/5138-10436644;media;49.2567;26.2406;;-22.91111;-43.20556;100.0;MAC USP;Wikipedia: Rio de Janeiro;Wikipedia: Rio de Janeiro;"fontes adicionadas em auditoria; coordenadas auditadas para a cidade";alta
Dimitri Venkov;Russia;University of Oregon;44.044166666667;-123.07583333333;Moscow, Russia;;;male;;;;Triumph Gallery / Kandinsky Prize;alto;FILE;;;;;55.7565408;37.6149202;100.0;;;;;;;"artista em atividade em fonte recente; sem óbito identificado";
Dimitris Gkikas;Germany;Aristotle University of Thessaloniki> National Technical University of Athens;40.63> 37.987863888889;22.958055555556> 23.731613888889;Athens, Greece;;;male;biografia profissional (INNER PLAN Design Studio);média;;FILE Festival;alto;FILE;;;;;37.9753357;23.7361497;100.0;;;;;;;"atividade recente em fonte aberta; sem óbito identificado";
Dina Al Khatib;Jordan;American University of Sharjah;25.309722;55.490556;Jordan;;;female;https://hayyjameel.org/programmes/the-assembly/2020-2/;médio;FILE explicita “País de Origem”> preenchido em nível de país.;FILE Festival (País de Origem);alto;FILE;;;;;30.585164;36.238414;;;;;;;;;
Dina Velikovskaya;Russia;Moscow State Academic Art School in Memory of 1905> Gerasimov Institute of Cinematography (VGIK)> High Animation School-Studio SHAR;55.793269> 55.75055555555556;37.62698> 37.6175;Moscow, Russia;;;female;FILE Festival;médio;;site oficial da artista / FILE Festival;alto;FILE;;;;;55.7565408;37.6149202;100.0;;;;;;;"artista em atividade em fonte recente; sem óbito identificado";
Dirk Koy;Switzerland;Basel Academy of Art and Design FHNW (HGK Basel);47.533055555555556;7.611;Basel, Switzerland;;;male;https://www.fhnw.ch/en/art-design/about/portrait-organisation/people/dirk-koy | https://www.kurzfilmtage.ch/en/archive/films/film-archive?fid=185&id_film=1851540;alto;;muda.co / Vimeo;media;FILE;;;;;47.556959234;7.593086695;100.0;;;;;;;"artista em atividade em fonte recente; sem óbito identificado";
Djamel Afnai;;École du Passage> Théâtre National de Chaillot> FAI-AR;-38.9398;-68.0533;;;;male;FAI-AR;alta;Lote 8 pesquisado> sem fonte auditável suficiente para local de nascimento.;;;FILE;;;;;;;;;;;;;;;
Djanira;Brazil;;;;Avaré;;Rio de Janeiro;female;;;;https://www.wikidata.org/wiki/Q1791605;alta;;;;;alta;-23.0992;-48.9259;;-22.91111;-43.20556;100.0;Enciclopédia Itaú Cultural;Wikipedia: Rio de Janeiro;Wikipedia: Rio de Janeiro;"fontes adicionadas em auditoria; coordenadas auditadas para a cidade";alta
Djanira Volpi;;Liceu de Artes e Ofícios;-22.91375;-43.171805555556;Brasil;;;female;https://www.ebiografia.com/djanira/> https://www.guiadasartes.com.br/djanira-da-motta-e-silva/quem-foi;;também teve aulas com Emeric Marcier e Milton Dacosta, em contexto não institucional | fonte localizada informa apenas o país de nascimento;MAC USP;alta;MAC USP;Rio de Janeiro, RJ;1940;https://www.ebiografia.com/djanira/;media;-10.769946429;-53.073466889;;;;;;;;fonte recente e fonte institucional sem óbito identificado;
Domenico Failutti;Kingdom of Italy;Gallerie dell'Accademia> Escola de Design da Sociedade dos Trabalhadores de Udine> Academia de Belas Artes de Veneza;46.066666666667> 45.431078;13.233333333333> 12.328139;Zugliano;;;male;https://pt.wikipedia.org/wiki/Domenico_Failutti;;A fonte também indica estudos de escultura, arte decorativa e plástico em Florença.;Wikidata;alta;Museu Paulista;Udine> Veneza> Florença;antes de sua carreira itinerante> sem datas completas na fonte;;media;45.7307962;11.525;100.0;;;;;;;"fonte secundária converge para Udine; mantido em branco por ausência de fonte institucional direta";
Domingos Clementino;;formação artística brasileira> instituição não identificada na fonte aberta consultada;> ;> ;;;;male;https://www.catalogodasartes.com.br/;;Registro conservador por falta de evidência aberta suficiente.;;;Museu Histórico Nacional;Brasil;;;baixa;;;;;;;;;;;
Domingos Sequeira;Kingdom of Portugal;Casa Pia de Lisboa> Aula Régia de Desenho> Academia Portuguesa de Roma;38.708042> -22.91111111111111> 41.893055555556;-9.139016> -43.20555555555556> 12.482777777778;Freguesia de Santa Maria de Belém;;Rome;male;https://pt.wikipedia.org/wiki/Domingos_Sequeira | https://eviterbo.fcsh.unl.pt/wiki/Domingos_Sequeira;;As fontes também mencionam aulas com Antonio Cavallucci em Roma.;Wikidata;alta;MASP;Lisboa> Roma;1781-1786> 1788 em diante;https://pt.wikipedia.org/wiki/Domingos_Sequeira | https://eviterbo.fcsh.unl.pt/wiki/Domingos_Sequeira;alta;-1.256715173036;-48.562918526235;95.21;41.89333;12.48278;100.0;Museu Nacional Soares dos Reis;Wikipedia: Rome;Wikipedia: Rome;"fontes adicionadas em auditoria; coordenadas auditadas para a cidade";alta
Donald Abad;France;École Nationale Supérieure des Arts Décoratifs de Paris (ENSAD Paris);48.85666666666667;2.352222222222222;France;;;male;Paris College of Art — https://www.paris.edu/faculty/abad-donald/> CNAP — https://www.cnap.fr/donald-abad-0;alto;FILE explicita “País de Origem: France”> preenchido em nível de país.;FILE Festival (País de Origem);alta;FILE;;;;alta;46.559417044;2.550539953;100.0;;;;;;;"artista em atividade em fonte recente; sem óbito identificado";
Donald Urquhart;United Kingdom;Edinburgh College of Art> Royal Academy Study Course at the Prado Museum;40.41388888888889;-3.692222222222222;Dumfries, Escócia;;;male;https://www.royalscottishacademy.org/exhibitions/210-donald-urquhart-rsa/overview | https://pssauk.org/public-sculpture-of-britain/biography/urquhart-donald/ | https://www.royalscottishacademy.org/publications/118-donald-urquhart-sketchbook/> https://www.royalscottishacademy.org/exhibitions/210-donald-urquhart-rsa/overview | https://pssauk.org/public-sculpture-of-britain/biography/urquhart-donald/;;;MAC USP Acervo;alta;MAC USP;Edimburgo> Madri;1978-1982> 1982;https://pssauk.org/public-sculpture-of-britain/biography/urquhart-donald/ | https://www.royalscottishacademy.org/publications/118-donald-urquhart-sketchbook/;alta;55.069939;-3.605;;;;;;;;"artista em atividade em fonte recente; sem óbito identificado";
Dropbear;Australia;;;;Melbourne, Australia;;;male;;;;CCCB / Best Ads on TV;médio;FILE;;;;;-37.815051434;144.960255426;;;;;;;;"nome artístico/estúdio em atividade; local de morte não se aplica";
DRTHRDWR;Netherlands;Sandberg Institute> Gerrit Rietveld Academie;52.34138888888889> 52.3413;4.860277777777777> 4.86;Netherlands;;;female;Academia.edu CV;médio;;FILE Festival (País de Origem);alta;FILE;;;;alta;52.249375293;5.616126398;100.0;;;;;;;"nome artístico em atividade; local de morte não se aplica";
Drude Mangaard;Kingdom of Denmark;The Animation Workshop;56.4561;9.40611;Denmark;;;female;FILE Festival — https://archive.file.org.br/participantes/drude-mangaard/> perfil pessoal — https://drudemangaard.blogspot.com/p/bio.html;alto;;FILE Festival (País de Origem);alta;FILE;;;;alta;55.959300779;10.053934054;100.0;;;;;;;;
Décio Villares;Brazil;Academia Imperial de Belas Artes;-22.91111111111111;-43.20555555555556;Rio de Janeiro;;Rio de Janeiro;male;Itaú Cultural> Arqnet;;fontes citam estudos com Paul Cabanel e Pedro Américo na Europa, sem instituição única claramente nomeada;Wikidata;alta;Museu Casa de Benjamin Constant;Rio de Janeiro> França e Itália;até 1872> 1872–1881;Itaú Cultural> Arqnet;media;-22.9014475;-43.1789159;100.0;-22.91111;-43.20556;100.0;Enciclopédia Itaú Cultural;Wikipedia: Rio de Janeiro;Wikipedia: Rio de Janeiro;"fontes adicionadas em auditoria; coordenadas auditadas para a cidade";alta
Dénes Ruzsa;Hungary;;;;Hungary;;;male;;;FILE explicita “País de Origem: Hungary”> preenchido em nível de país.;FILE Festival (País de Origem);alta;FILE;;;;alta;47.16708877;19.4245317;100.0;;;;;;;;
Désiré François Laugée;France;Beaux-Arts de Paris> Collège des Bons-Enfants> École des Beaux-Arts de Saint-Quentin> ateliê de Louis Nicolas Lemasle> École des Beaux-Arts de Paris> ateliê de François-Édouard Picot;49.265277777778> 49.850038;4.0286111111111> 3.284348;Maromme;Passy Cemetery;Paris;male;https://en.wikipedia.org/wiki/D%C3%A9sir%C3%A9_Fran%C3%A7ois_Laug%C3%A9e;;A fonte permite reconstruir a sequência formativa, mas não fornece cronologia anual completa para cada etapa.;Wikidata;alta;Museu Nacional de Belas Artes;Saint-Quentin> Paris;antes de 1845> formação inicial em Saint-Quentin e posterior ida a Paris;https://en.wikipedia.org/wiki/D%C3%A9sir%C3%A9_Fran%C3%A7ois_Laug%C3%A9e;alta;49.4811839;1.039354602;100.0;48.856372814;2.352529617;100.0;Paris Musées;Wikidata (Paris);Wikidata (Paris);auditoria: local ajustado de 16th arrondissement of Paris para Paris com base em fonte institucional;alta
